SECID,BOARDID,SHORTNAME,SECNAME,PREVSETTLEPRICE,DECIMALS,MINSTEP,LASTTRADEDATE,LASTDELDATE,SECTYPE,LATNAME,ASSETCODE,PREVOPENPOSITION,LOTVOLUME,INITIALMARGIN,HIGHLIMIT,LOWLIMIT,STEPPRICE,LASTSETTLEPRICE,PREVPRICE,IMTIME,BUYSELLFEE,SCALPERFEE,NEGOTIATEDFEE,EXERCISEFEE,SETTLEPRICE_CLR
92Q6,RFUD,AI92-8.26,Фьючерсный контракт AI92-8.26,74140,0,10.00000,2026-08-28,2026-08-28,92,AI92-8.26,AI92,108,1,7772.29,78000.00000,70280.00000,10.00000,74140,73900,2026-08-12 07:00:03,9.79,4.90,3.27,3.26,74140.00000
92U6,RFUD,AI92-9.26,Фьючерсный контракт AI92-9.26,75130,0,10.00000,2026-09-29,2026-09-29,92,AI92-9.26,AI92,130,1,8506.68,79330.00000,70930.00000,10.00000,75130,75130,2026-08-12 07:00:04,9.91,4.96,3.30,3.31,75130.00000
92V6,RFUD,AI92-10.26,Фьючерсный контракт AI92-10.26,74250,0,10.00000,2026-10-29,2026-10-29,92,AI92-10.26,AI92,0,1,8857.64,78600.00000,69900.00000,10.00000,74250,0,2026-08-12 07:00:04,9.81,4.91,3.27,3.27,74250.00000
95Q6,RFUD,AI95-8.26,Фьючерсный контракт AI95-8.26,77280,0,10.00000,2026-08-28,2026-08-28,95,AI95-8.26,AI95,250,1,8877.66,81690.00000,72870.00000,10.00000,77280,77430,2026-08-12 07:00:03,10.21,5.11,3.41,3.40,77280.00000
95U6,RFUD,AI95-9.26,Фьючерсный контракт AI95-9.26,78990,0,10.00000,2026-09-29,2026-09-29,95,AI95-9.26,AI95,190,1,9658.97,83760.00000,74220.00000,10.00000,78990,79560,2026-08-12 07:00:04,10.43,5.22,3.48,3.48,78990.00000
95V6,RFUD,AI95-10.26,Фьючерсный контракт AI95-10.26,79120,0,10.00000,2026-10-29,2026-10-29,95,AI95-10.26,AI95,0,1,10049.74,84060.00000,74180.00000,10.00000,79120,0,2026-08-12 07:00:04,10.45,5.23,3.48,3.48,79120.00000
A2U6,RFUD,ASML-9.26,Фьючерсный контракт ASML-9.26,1801.1,1,0.10000,2026-09-18,2026-09-18,A2,ASML-9.26,ASML,472,1,3880.60,2004.70000,1597.50000,0.82374,1801.1,1795.5,2026-08-12 07:00:03,2.94,1.47,0.98,0.98,1801.10000
A2Z6,RFUD,ASML-12.26,Фьючерсный контракт ASML-12.26,1812.9,1,0.10000,2026-12-18,2026-12-18,A2,ASML-12.26,ASML,134,1,3959.29,2019.80000,1606.00000,0.82374,1812.9,1807.4,2026-08-12 07:00:03,2.96,1.48,0.99,0.99,1812.90000
AAU6,RFUD,AFRICA-9.26,Фьючерсный контракт AFRICA-9.26,70,2,0.01000,2026-09-18,2026-09-18,AA,AFRICA-9.26,AFRICA,130,1,774.33,74.06000,65.94000,0.82374,70,67.61,2026-08-12 07:00:03,1.15,0.58,0.38,0.38,70.00000
AAZ6,RFUD,AFRICA-12.26,Фьючерсный контракт AFRICA-12.26,70.52,2,0.01000,2026-12-18,2026-12-18,AA,AFRICA-12.26,AFRICA,50,1,777.36,74.59000,66.45000,0.82374,70.52,69.13,2026-08-12 07:00:04,1.15,0.58,0.38,0.38,70.52000
AEU6,RFUD,AED-9.26,Фьючерсный контракт AED-9.26,22.656,3,0.00100,2026-09-17,2026-09-17,AE,AED-9.26,AED,98,1000,3553.05,24.59800,20.71400,1.00000,22.656,22.545,2026-08-12 07:00:03,1.05,0.53,0.35,0.35,22.65600
AEZ6,RFUD,AED-12.26,Фьючерсный контракт AED-12.26,23.11,3,0.00100,2026-12-17,2026-12-17,AE,AED-12.26,AED,34,1000,3657.41,25.10200,21.11800,1.00000,23.11,0,2026-08-12 07:00:04,1.06,0.53,0.35,0.36,23.11000
AFU6,RFUD,AFLT-9.26,Фьючерсный контракт AFLT-9.26,3662,0,1.00000,2026-09-17,2026-09-18,AF,AFLT-9.26,AFLT,132166,100,948.76,4131.00000,3193.00000,1.00000,3662,3667,2026-08-12 07:00:03,0.73,0.37,0.24,0.00,3662.00000
AFZ6,RFUD,AFLT-12.26,Фьючерсный контракт AFLT-12.26,3756,0,1.00000,2026-12-17,2026-12-18,AF,AFLT-12.26,AFLT,7618,100,1010.96,4250.00000,3262.00000,1.00000,3756,3750,2026-08-12 07:00:03,0.75,0.38,0.25,0.00,3756.00000
AGU6,RFUD,ARGT-9.26,Фьючерсный контракт ARGT-9.26,94.59,2,0.01000,2026-09-18,2026-09-18,AG,ARGT-9.26,ARGT,710,1,1136.49,100.55000,88.63000,0.82374,94.59,0,2026-08-12 07:00:03,1.55,0.78,0.52,0.51,94.59000
AGZ6,RFUD,ARGT-12.26,Фьючерсный контракт ARGT-12.26,95.3,2,0.01000,2026-12-18,2026-12-18,AG,ARGT-12.26,ARGT,38,1,1140.64,101.28000,89.32000,0.82374,95.3,0,2026-08-12 07:00:04,1.55,0.78,0.52,0.52,95.30000
AKU6,RFUD,AFKS-9.26,Фьючерсный контракт AFKS-9.26,9486,0,1.00000,2026-09-17,2026-09-18,AK,AFKS-9.26,AFKS,75218,1000,2454.31,10701.00000,8271.00000,1.00000,9486,9483,2026-08-12 07:00:03,1.88,0.94,0.63,0.00,9486.00000
AKZ6,RFUD,AFKS-12.26,Фьючерсный контракт AFKS-12.26,9775,0,1.00000,2026-12-17,2026-12-18,AK,AFKS-12.26,AFKS,4624,1000,2616.45,11054.00000,8496.00000,1.00000,9775,9743,2026-08-12 07:00:04,1.93,0.97,0.64,0.00,9775.00000
ALU6,RFUD,ALRS-9.26,Фьючерсный контракт ALRS-9.26,2221,0,1.00000,2026-09-17,2026-09-18,AL,ALRS-9.26,ALRS,280742,100,575.46,2505.00000,1937.00000,1.00000,2221,2266,2026-08-12 07:00:03,0.44,0.22,0.14,0.00,2221.00000
ALZ6,RFUD,ALRS-12.26,Фьючерсный контракт ALRS-12.26,2299,0,1.00000,2026-12-17,2026-12-18,AL,ALRS-12.26,ALRS,27744,100,613.67,2599.00000,1999.00000,1.00000,2299,2340,2026-08-12 07:00:04,0.45,0.23,0.15,0.00,2299.00000
ANU6,RFUD,ALUM-9.26,Фьючерсный контракт ALUM-9.26,3378.5,1,0.50000,2026-09-15,2026-09-15,AN,ALUM-9.26,ALUM,72610,100,3397.78,3556.50000,3200.50000,4.11871,3378.5,3398.5,2026-08-12 07:00:03,3.67,1.84,1.22,1.22,3378.50000
ANZ6,RFUD,ALUM-12.26,Фьючерсный контракт ALUM-12.26,3356,1,0.50000,2026-12-15,2026-12-15,AN,ALUM-12.26,ALUM,3484,100,3831.91,3554.50000,3157.50000,4.11871,3356,3373.5,2026-08-12 07:00:03,3.65,1.83,1.22,1.22,3356.00000
APU6,RFUD,SAP-9.26,Фьючерсный контракт SAP-9.26,209.71,2,0.01000,2026-09-18,2026-09-18,AP,SAP-9.26,SAP,6,1,4718.22,234.46000,184.96000,0.82374,209.71,0,2026-08-12 07:00:03,3.42,1.71,1.14,1.14,209.71000
APZ6,RFUD,SAP-12.26,Фьючерсный контракт SAP-12.26,211.68,2,0.01000,2026-12-18,2026-12-18,AP,SAP-12.26,SAP,2,1,4811.15,236.83000,186.53000,0.82374,211.68,0,2026-08-12 07:00:03,3.46,1.73,1.15,1.15,211.68000
ARU6,RFUD,AMD-9.26,Фьючерсный контракт AMD-9.26,22.2,3,0.00100,2026-09-17,2026-09-17,AR,AMD-9.26,AMD,52,100000,6831.30,25.93500,18.46500,1.00000,22.2,22.2,2026-08-12 07:00:03,1.03,0.52,0.35,0.34,22.20000
ARZ6,RFUD,AMD-12.26,Фьючерсный контракт AMD-12.26,23.228,3,0.00100,2026-12-17,2026-12-17,AR,AMD-12.26,AMD,38,100000,6952.03,27.01500,19.44100,1.00000,23.228,23.214,2026-08-12 07:00:04,1.08,0.54,0.36,0.36,23.22800
ASU6,RFUD,ASTR-9.26,Фьючерсный контракт ASTR-9.26,226,0,1.00000,2026-09-17,2026-09-18,AS,ASTR-9.26,ASTR,302664,1,59.14,255.00000,197.00000,1.00000,226,229,2026-08-12 07:00:03,0.05,0.03,0.02,0.00,226.00000
ASZ6,RFUD,ASTR-12.26,Фьючерсный контракт ASTR-12.26,229,0,1.00000,2026-12-17,2026-12-18,AS,ASTR-12.26,ASTR,61952,1,62.92,259.00000,199.00000,1.00000,229,233,2026-08-12 07:00:03,0.05,0.03,0.02,0.00,229.00000
AUU6,RFUD,AUDU-9.26,Фьючерсный контракт AUDU-9.26,0.7058,4,0.00010,2026-09-17,2026-09-17,AU,AUDU-9.26,AUDU,226,1000,7648.05,0.74600,0.66560,8.23742,0.7058,0.7058,2026-08-12 07:00:03,2.68,1.34,0.89,0.90,0.70580
AUZ6,RFUD,AUDU-12.26,Фьючерсный контракт AUDU-12.26,0.707,4,0.00010,2026-12-17,2026-12-17,AU,AUDU-12.26,AUDU,0,1000,8080.91,0.74920,0.66480,8.23742,0.707,0,2026-08-12 07:00:04,2.69,1.35,0.90,0.90,0.70700
BBU6,RFUD,ALIBABA-9.26,Фьючерсный контракт ALIBABA-9.26,128.74,2,0.01000,2026-09-18,2026-09-18,BB,ALIBABA-9.26,ALIBABA,17066,1,1792.20,138.14000,119.34000,0.82374,128.74,128.75,2026-08-12 07:00:03,2.10,1.05,0.70,0.70,128.74000
BBZ6,RFUD,ALIBABA-12.26,Фьючерсный контракт ALIBABA-12.26,131.91,2,0.01000,2026-12-18,2026-12-18,BB,ALIBABA-12.26,ALIBABA,882,1,1846.97,141.56000,122.26000,0.82374,131.91,132.01,2026-08-12 07:00:04,2.15,1.08,0.71,0.72,131.91000
BDU6,RFUD,BAIDU-9.26,Фьючерсный контракт BAIDU-9.26,107.16,2,0.01000,2026-09-18,2026-09-18,BD,BAIDU-9.26,BAIDU,13316,1,1593.92,115.52000,98.80000,0.82374,107.16,108.98,2026-08-12 07:00:03,1.74,0.87,0.58,0.58,107.16000
BDZ6,RFUD,BAIDU-12.26,Фьючерсный контракт BAIDU-12.26,110.84,2,0.01000,2026-12-18,2026-12-18,BD,BAIDU-12.26,BAIDU,388,1,1640.86,119.41000,102.27000,0.82374,110.84,111.04,2026-08-12 07:00:04,1.81,0.91,0.61,0.60,110.84000
BMF7,RFUD,BRM-1.27,Фьючерсный контракт BRM-1.27,82.21,2,0.01000,2027-01-04,2027-01-04,BM,BRM-1.27,BRM,2332,1,1756.43,94.16000,70.26000,0.82374,82.21,82.4,2026-08-12 07:00:03,0.89,0.45,0.30,0.30,82.21000
BMG7,RFUD,BRM-2.27,Фьючерсный контракт BRM-2.27,81.7,2,0.01000,2027-02-01,2027-02-01,BM,BRM-2.27,BRM,1086,1,1787.78,93.82000,69.58000,0.82374,81.7,82.17,2026-08-12 07:00:04,0.89,0.45,0.30,0.30,81.70000
BMH7,RFUD,BRM-3.27,Фьючерсный контракт BRM-3.27,81.66,2,0.01000,2027-03-01,2027-03-01,BM,BRM-3.27,BRM,338,1,1803.53,93.87000,69.45000,0.82374,81.66,82.6,2026-08-12 07:00:04,0.89,0.45,0.30,0.30,81.66000
BMU6,RFUD,BRM-9.26,Фьючерсный контракт BRM-9.26,88.98,2,0.01000,2026-08-31,2026-08-31,BM,BRM-9.26,BRM,109230,1,1569.15,99.85000,78.11000,0.82374,88.98,89.36,2026-08-12 07:00:03,0.97,0.49,0.33,0.32,88.98000
BMV6,RFUD,BRM-10.26,Фьючерсный контракт BRM-10.26,86.77,2,0.01000,2026-10-01,2026-10-01,BM,BRM-10.26,BRM,19732,1,1744.26,98.12000,75.42000,0.82374,86.77,87.02,2026-08-12 07:00:03,0.94,0.47,0.31,0.31,86.77000
BMX6,RFUD,BRM-11.26,Фьючерсный контракт BRM-11.26,84.99,2,0.01000,2026-11-02,2026-11-02,BM,BRM-11.26,BRM,15316,1,1686.39,96.54000,73.44000,0.82374,84.99,85.16,2026-08-12 07:00:03,0.92,0.46,0.31,0.31,84.99000
BMZ6,RFUD,BRM-12.26,Фьючерсный контракт BRM-12.26,83.42,2,0.01000,2026-12-01,2026-12-01,BM,BRM-12.26,BRM,5826,1,1713.09,95.12000,71.72000,0.82374,83.42,83.77,2026-08-12 07:00:03,0.91,0.46,0.30,0.30,83.42000
BNU6,RFUD,BANE-9.26,Фьючерсный контракт BANE-9.26,1292,0,1.00000,2026-09-17,2026-09-18,BN,BANE-9.26,BANE,36414,1,437.37,1508.00000,1076.00000,1.00000,1292,1280,2026-08-12 07:00:03,0.26,0.13,0.09,0.00,1292.00000
BNZ6,RFUD,BANE-12.26,Фьючерсный контракт BANE-12.26,1312,0,1.00000,2026-12-17,2026-12-18,BN,BANE-12.26,BANE,4426,1,460.35,1537.00000,1087.00000,1.00000,1312,1320,2026-08-12 07:00:04,0.26,0.13,0.09,0.00,1312.00000
BRF7,RFUD,BR-1.27,Фьючерсный контракт BR-1.27,82.24,2,0.01000,2027-01-04,2027-01-04,BR,BR-1.27,BR,2762,10,17568.51,94.19000,70.29000,8.23742,82.24,82.28,2026-08-12 07:00:03,8.94,4.47,2.98,2.98,82.24000
BRG7,RFUD,BR-2.27,Фьючерсный контракт BR-2.27,81.83,2,0.01000,2027-02-01,2027-02-01,BR,BR-2.27,BR,888,10,17884.86,93.96000,69.70000,8.23742,81.83,81.88,2026-08-12 07:00:04,8.90,4.45,2.97,2.97,81.83000
BRH7,RFUD,BR-3.27,Фьючерсный контракт BR-3.27,81.58,2,0.01000,2027-03-01,2027-03-01,BR,BR-3.27,BR,236,10,18036.44,93.79000,69.37000,8.23742,81.58,81.7,2026-08-12 07:00:04,8.87,4.44,2.96,2.96,81.58000
BRU6,RFUD,BR-9.26,Фьючерсный контракт BR-9.26,89,2,0.01000,2026-08-31,2026-08-31,BR,BR-9.26,BR,494194,10,15695.03,99.87000,78.13000,8.23742,89,89.32,2026-08-12 07:00:03,9.67,4.84,3.22,3.23,89.00000
BRV6,RFUD,BR-10.26,Фьючерсный контракт BR-10.26,86.77,2,0.01000,2026-10-01,2026-10-01,BR,BR-10.26,BR,74516,10,17446.27,98.12000,75.42000,8.23742,86.77,87.07,2026-08-12 07:00:03,9.44,4.72,3.15,3.14,86.77000
BRX6,RFUD,BR-11.26,Фьючерсный контракт BR-11.26,84.88,2,0.01000,2026-11-02,2026-11-02,BR,BR-11.26,BR,8906,10,16865.50,96.43000,73.33000,8.23742,84.88,85.09,2026-08-12 07:00:03,9.23,4.62,3.08,3.08,84.88000
BRZ6,RFUD,BR-12.26,Фьючерсный контракт BR-12.26,83.56,2,0.01000,2026-12-01,2026-12-01,BR,BR-12.26,BR,5896,10,17137.10,95.27000,71.85000,8.23742,83.56,83.69,2026-08-12 07:00:03,9.08,4.54,3.03,3.03,83.56000
BSU6,RFUD,BSPB-9.26,Фьючерсный контракт BSPB-9.26,2753,0,1.00000,2026-09-17,2026-09-18,BS,BSPB-9.26,BSPB,27076,10,713.64,3106.00000,2400.00000,1.00000,2753,2747,2026-08-12 07:00:03,0.54,0.27,0.18,0.00,2753.00000
BSZ6,RFUD,BSPB-12.26,Фьючерсный контракт BSPB-12.26,2663,0,1.00000,2026-12-17,2026-12-18,BS,BSPB-12.26,BSPB,4526,10,756.66,3033.00000,2293.00000,1.00000,2663,2650,2026-08-12 07:00:03,0.52,0.26,0.17,0.00,2663.00000
BTQ6,RFUD,BTC-8.26,Фьючерсный контракт BTC-8.26,63836,0,1.00000,2026-08-28,2026-08-28,BT,BTC-8.26,BTC,349808,1,1348.52,70936.00000,56736.00000,0.08237,63836,63983,2026-08-12 07:00:03,2.10,1.05,1.05,0.35,63836.00000
BTU6,RFUD,BTC-9.26,Фьючерсный контракт BTC-9.26,64298,0,1.00000,2026-09-25,2026-09-25,BT,BTC-9.26,BTC,81818,1,1355.10,71427.00000,57169.00000,0.08237,64298,64400,2026-08-12 07:00:04,2.12,1.06,1.06,0.35,64298.00000
BTV6,RFUD,BTC-10.26,Фьючерсный контракт BTC-10.26,64819,0,1.00000,2026-10-30,2026-10-30,BT,BTC-10.26,BTC,16752,1,1370.84,72016.00000,57622.00000,0.08237,64819,64970,2026-08-12 07:00:04,2.14,1.07,1.06,0.35,64819.00000
BYU6,RFUD,BYN-9.26,Фьючерсный контракт BYN-9.26,28.05,2,0.01000,2026-09-17,2026-09-17,BY,BYN-9.26,BYN,10,1000,4330.32,30.41000,25.69000,10.00000,28.05,0,2026-08-12 07:00:03,1.29,0.65,0.43,0.43,28.05000
BYZ6,RFUD,BYN-12.26,Фьючерсный контракт BYN-12.26,29.06,2,0.01000,2026-12-17,2026-12-17,BY,BYN-12.26,BYN,10,1000,4463.63,31.49000,26.63000,10.00000,29.06,0,2026-08-12 07:00:04,1.34,0.67,0.45,0.45,29.06000
BZU6,RFUD,BRAZIL-9.26,Фьючерсный контракт BRAZIL-9.26,35.29,2,0.01000,2026-09-18,2026-09-18,BZ,BRAZIL-9.26,BRAZIL,482,1,457.64,37.69000,32.89000,0.82374,35.29,34.12,2026-08-12 07:00:03,0.57,0.29,0.19,0.19,35.29000
BZZ6,RFUD,BRAZIL-12.26,Фьючерсный контракт BRAZIL-12.26,35.38,2,0.01000,2026-12-18,2026-12-18,BZ,BRAZIL-12.26,BRAZIL,106,1,459.09,37.78000,32.98000,0.82374,35.38,35.31,2026-08-12 07:00:04,0.58,0.29,0.19,0.19,35.38000
CAU6,RFUD,UCAD-9.26,Фьючерсный контракт UCAD-9.26,1.3918,4,0.00010,2026-09-17,2026-09-17,CA,UCAD-9.26,UCAD,2,1000,10312.81,1.45850,1.32510,5.90835,1.3918,0,2026-08-12 07:00:03,3.80,1.90,1.27,1.27,1.39180
