Date,cl_period,KEY_PERIOD,BC,r
2026-08-12,CL,1D,1MFR,0.0
2026-08-12,CL,1W,1MFR,0.0
2026-08-12,CL,2W,1MFR,0.0
2026-08-12,CL,1M,1MFR,0.0
2026-08-12,CL,2M,1MFR,0.0
2026-08-12,CL,3M,1MFR,0.0
2026-08-12,CL,6M,1MFR,0.0
2026-08-12,CL,9M,1MFR,0.0
2026-08-12,CL,1Y,1MFR,0.0
2026-08-12,CL,2Y,1MFR,0.0
2026-08-12,CL,3Y,1MFR,0.0
2026-08-12,CL,4Y,1MFR,0.0
2026-08-12,CL,5Y,1MFR,0.0
2026-08-12,CL,6Y,1MFR,0.0
2026-08-12,CL,7Y,1MFR,0.0
2026-08-12,CL,8Y,1MFR,0.0
2026-08-12,CL,9Y,1MFR,0.0
2026-08-12,CL,10Y,1MFR,0.0
2026-08-12,CL,1D,AED,0.0634924282299266
2026-08-12,CL,1W,AED,0.0634924282299266
2026-08-12,CL,2W,AED,0.0634924282299266
2026-08-12,CL,1M,AED,0.0634924282299266
2026-08-12,CL,2M,AED,0.0634924282299266
2026-08-12,CL,3M,AED,0.0634924282299266
2026-08-12,CL,6M,AED,0.0634924282299266
2026-08-12,CL,9M,AED,0.0634924282299266
2026-08-12,CL,1Y,AED,0.0634924282299266
2026-08-12,CL,2Y,AED,0.0634924282299266
2026-08-12,CL,3Y,AED,0.0634924282299266
2026-08-12,CL,4Y,AED,0.0634924282299266
2026-08-12,CL,5Y,AED,0.0634924282299266
2026-08-12,CL,6Y,AED,0.0634924282299266
2026-08-12,CL,7Y,AED,0.0634924282299266
2026-08-12,CL,8Y,AED,0.0634924282299266
2026-08-12,CL,9Y,AED,0.0634924282299266
2026-08-12,CL,10Y,AED,0.0634924282299266
2026-08-12,CL,1D,AFKS,0.06193863822842169
2026-08-12,CL,1W,AFKS,0.06193863822842169
2026-08-12,CL,2W,AFKS,0.06193863822842169
2026-08-12,CL,1M,AFKS,0.06193863822842169
2026-08-12,CL,2M,AFKS,0.07108261810477277
2026-08-12,CL,3M,AFKS,0.08251259295021163
2026-08-12,CL,6M,AFKS,0.09660956192625289
2026-08-12,CL,9M,AFKS,0.09660956192625289
2026-08-12,CL,1Y,AFKS,0.09660956192625289
2026-08-12,CL,2Y,AFKS,0.09660956192625289
2026-08-12,CL,3Y,AFKS,0.09660956192625289
2026-08-12,CL,4Y,AFKS,0.09660956192625289
2026-08-12,CL,5Y,AFKS,0.09660956192625289
2026-08-12,CL,6Y,AFKS,0.09660956192625289
2026-08-12,CL,7Y,AFKS,0.09660956192625289
2026-08-12,CL,8Y,AFKS,0.09660956192625289
2026-08-12,CL,9Y,AFKS,0.09660956192625289
2026-08-12,CL,10Y,AFKS,0.09660956192625289
2026-08-12,CL,1D,AFLT,0.08962612077045756
2026-08-12,CL,1W,AFLT,0.08962612077045756
2026-08-12,CL,2W,AFLT,0.08962612077045756
2026-08-12,CL,1M,AFLT,0.08962612077045756
2026-08-12,CL,2M,AFLT,0.0932539762803015
2026-08-12,CL,3M,AFLT,0.09778879566760643
2026-08-12,CL,6M,AFLT,0.10338173957861584
2026-08-12,CL,9M,AFLT,0.10338173957861584
2026-08-12,CL,1Y,AFLT,0.10338173957861584
2026-08-12,CL,2Y,AFLT,0.10338173957861584
2026-08-12,CL,3Y,AFLT,0.10338173957861584
2026-08-12,CL,4Y,AFLT,0.10338173957861584
2026-08-12,CL,5Y,AFLT,0.10338173957861584
2026-08-12,CL,6Y,AFLT,0.10338173957861584
2026-08-12,CL,7Y,AFLT,0.10338173957861584
2026-08-12,CL,8Y,AFLT,0.10338173957861584
2026-08-12,CL,9Y,AFLT,0.10338173957861584
2026-08-12,CL,10Y,AFLT,0.10338173957861584
2026-08-12,CL,1D,AFRICA,0.02973234264100547
2026-08-12,CL,1W,AFRICA,0.02973234264100547
2026-08-12,CL,2W,AFRICA,0.02973234264100547
2026-08-12,CL,1M,AFRICA,0.02973234264100547
2026-08-12,CL,2M,AFRICA,0.02973234264100547
2026-08-12,CL,3M,AFRICA,0.02973234264100547
2026-08-12,CL,6M,AFRICA,0.02973234264100547
2026-08-12,CL,9M,AFRICA,0.02973234264100547
2026-08-12,CL,1Y,AFRICA,0.02973234264100547
2026-08-12,CL,2Y,AFRICA,0.02973234264100547
2026-08-12,CL,3Y,AFRICA,0.02973234264100547
2026-08-12,CL,4Y,AFRICA,0.02973234264100547
2026-08-12,CL,5Y,AFRICA,0.02973234264100547
2026-08-12,CL,6Y,AFRICA,0.02973234264100547
2026-08-12,CL,7Y,AFRICA,0.02973234264100547
2026-08-12,CL,8Y,AFRICA,0.02973234264100547
2026-08-12,CL,9Y,AFRICA,0.02973234264100547
2026-08-12,CL,10Y,AFRICA,0.02973234264100547
2026-08-12,CL,1D,AI92,0.15450263050928684
2026-08-12,CL,1W,AI92,0.15450263050928684
2026-08-12,CL,2W,AI92,0.15450263050928684
2026-08-12,CL,1M,AI92,0.15450263050928684
2026-08-12,CL,2M,AI92,0.10153597980507913
2026-08-12,CL,3M,AI92,0.09775264761192143
2026-08-12,CL,6M,AI92,0.09775264761192143
2026-08-12,CL,9M,AI92,0.09775264761192143
2026-08-12,CL,1Y,AI92,0.09775264761192143
2026-08-12,CL,2Y,AI92,0.09775264761192143
2026-08-12,CL,3Y,AI92,0.09775264761192143
2026-08-12,CL,4Y,AI92,0.09775264761192143
2026-08-12,CL,5Y,AI92,0.09775264761192143
2026-08-12,CL,6Y,AI92,0.09775264761192143
2026-08-12,CL,7Y,AI92,0.09775264761192143
2026-08-12,CL,8Y,AI92,0.09775264761192143
2026-08-12,CL,9Y,AI92,0.09775264761192143
2026-08-12,CL,10Y,AI92,0.09775264761192143
2026-08-12,CL,1D,AI95,0.2555106841108078
2026-08-12,CL,1W,AI95,0.2555106841108078
2026-08-12,CL,2W,AI95,0.2555106841108078
2026-08-12,CL,1M,AI95,0.2555106841108078
2026-08-12,CL,2M,AI95,0.12340082748328726
2026-08-12,CL,3M,AI95,0.11396440915275007
2026-08-12,CL,6M,AI95,0.11396440915275007
2026-08-12,CL,9M,AI95,0.11396440915275007
2026-08-12,CL,1Y,AI95,0.11396440915275007
2026-08-12,CL,2Y,AI95,0.11396440915275007
2026-08-12,CL,3Y,AI95,0.11396440915275007
2026-08-12,CL,4Y,AI95,0.11396440915275007
2026-08-12,CL,5Y,AI95,0.11396440915275007
2026-08-12,CL,6Y,AI95,0.11396440915275007
2026-08-12,CL,7Y,AI95,0.11396440915275007
2026-08-12,CL,8Y,AI95,0.11396440915275007
2026-08-12,CL,9Y,AI95,0.11396440915275007
2026-08-12,CL,10Y,AI95,0.11396440915275007
2026-08-12,CL,1D,ALIBABA,0.08722943526337822
2026-08-12,CL,1W,ALIBABA,0.08722943526337822
2026-08-12,CL,2W,ALIBABA,0.08722943526337822
2026-08-12,CL,1M,ALIBABA,0.08722943526337822
2026-08-12,CL,2M,ALIBABA,0.08722943526337822
2026-08-12,CL,3M,ALIBABA,0.08722943526337822
2026-08-12,CL,6M,ALIBABA,0.08722943526337822
2026-08-12,CL,9M,ALIBABA,0.08722943526337822
2026-08-12,CL,1Y,ALIBABA,0.08722943526337822
2026-08-12,CL,2Y,ALIBABA,0.08722943526337822
2026-08-12,CL,3Y,ALIBABA,0.08722943526337822
2026-08-12,CL,4Y,ALIBABA,0.08722943526337822
