assetcode,underlying_asset,asset_type,count_with,is_not_rub
1MFR,RUSFAR,rate,RUSFAR,1
AED,AED,currency,AED,0
AFKS,AFKS,stock,AFKS,0
AFLT,AFLT,stock,AFLT,0
AFRICA,,index,AFRICA,1
AI92,,commodity,AI92,0
AI95,,commodity,AI95,0
ALIBABA,BABA-RM,stock,BABA-RM,1
ALRS,ALRS,stock,ALRS,0
ALUM,,commodity,ALUM,1
AMD,AMDRUB_TOM,currency,AMDRUB_TOM,0
ARGT,,index,ARGT,1
ASML,,stock,ASML,1
ASTR,ASTR,stock,ASTR,0
AUDU,AUDU,currency,AUDU,1
BAIDU,BIDU-RM,stock,BIDU-RM,1
BANE,BANE,stock,BANE,0
BELUGA,BELU,stock,BELU,0
BR,BR,commodity,BR,1
BRAZIL,,index,BRAZIL,1
BRM,,commodity,BRM,1
BSPB,BSPB,stock,BSPB,0
BTC,MOEXBTC,index,MOEXBTC,1
BYN,BYNRUB_TOM,currency,BYNRUB_TOM,0
CBOM,CBOM,stock,CBOM,0
CHINA,,index,CHINA,1
CHMFM,CHMF,stock,CHMF,0
CNI,MOEXCN,index,MOEXCN,0
CNY,CNYRUB_TOM,currency,CNYRUB_TOM,0
CNYRUBTOM,CNYRUB_TOM,currency,CNYRUB_TOM,0
COCOA,,commodity,COCOA,0
COFFEE,,commodity,COFFEE,1
COPPER,,commodity,COPPER,1
DAX,DAX,index,DAX,1
DJ30,DJ30,index,DJ30,1
DOMRF,DOMRF,stock,DOMRF,0
DTL,,commodity,DTL,0
ECAD,ECAD,currency,ECAD,1
ED,ED,currency,ED,1
EGBP,EGBP,currency,EGBP,1
EJPY,EJPY,currency,EJPY,1
EM,EEM-RM,index,EEM-RM,1
ENPG,ENPG,stock,ENPG,0
ETH,MOEXETH,index,MOEXETH,1
ETHA,,index,ETHA,1
EURM,EUR_RUB__TOM,currency,EUR_RUB__TOM,0
EURRUBTOM,EUR_RUB__TOM,currency,EUR_RUB__TOM,0
Eu,EUR_RUB__TOM,currency,EUR_RUB__TOM,0
FEES,FEES,stock,FEES,0
FESH,FESH,stock,FESH,0
FLOT,FLOT,stock,FLOT,0
FNI,MOEXFN,index,MOEXFN,0
GAZPF,GAZP,stock,GAZP,0
GAZR,GAZP,stock,GAZP,0
GBPU,GBPU,currency,GBPU,1
GL,GLDRUB_TOM,commodity,GLDRUB_TOM,1
GLDRUBTOM,GLDRUB_TOM,commodity,GLDRUB_TOM,1
GMKN,GMKN,stock,GMKN,0
GOLD,GOLD,commodity,GOLD,1
GOLDM,,commodity,GOLDM,1
HANG,HANG,index,HANG,1
HEAD,HEAD,stock,HEAD,0
HKD,HKDRUB_TOM,currency,HKDRUB_TOM,0
HOME,HOME,index,HOME,0
HYDR,HYDR,stock,HYDR,0
HYNIX,,stock,HYNIX,1
IBIT,,index,IBIT,1
IMOEX,IMOEX,index,IMOEX,1
INDIA,MTUM-RM,index,MTUM-RM,1
INR,INR,currency,INR,0
IPO,MIPO,index,MIPO,1
IRAO,IRAO,stock,IRAO,0
ISKJ,ABIO,stock,ABIO,0
IVAT,IVAT,stock,IVAT,0
JDCOM,,stock,JDCOM,1
KMAZ,KMAZ,stock,KMAZ,0
KOREA,,index,KOREA,1
KZT,KZTRUB_TOM,currency,KZTRUB_TOM,0
LEAS,LEAS,stock,LEAS,0
LENT,LENT,stock,LENT,0
LKOH,LKOH,stock,LKOH,0
MAGN,MAGN,stock,MAGN,0
MDMG,MDMG,stock,MDMG,0
MGNT,MGNT,stock,MGNT,0
MIX,MIX,index,MIX,1
MMI,MOEXMM,index,MOEXMM,0
MOEX,MOEX,stock,MOEX,0
MOEXCNY,IMOEXCNY,index,IMOEXCNY,1
MTLR,MTLR,stock,MTLR,0
MTSI,MTSS,stock,MTSS,0
MVID,MVID,stock,MVID,0
MXI,IMOEX,index,IMOEX,1
NASD,,stock,NASD,1
NG,NG,commodity,NG,1
NGM,,commodity,NGM,1
NICKEL,,commodity,NICKEL,1
NIKK,NIKK,index,NIKK,1
NLMK,NLMK,stock,NLMK,0
NOTKM,NVTK,stock,NVTK,0
NOVARTIS,,stock,NOVARTIS,1
OGI,MOEXOG,index,MOEXOG,0
ORANGE,,commodity,ORANGE,1
OZON,OZON,stock,OZON,0
PDD,,stock,PDD,1
PHOR,PHOR,stock,PHOR,0
PIKK,PIKK,stock,PIKK,0
PLD,PLD,commodity,PLD,1
PLDM,,commodity,PLDM,1
PLT,PLT,commodity,PLT,1
PLTM,,commodity,PLTM,1
PLZLM,PLZL,stock,PLZL,0
POSI,POSI,stock,POSI,0
QQQF,FIXQQQ,index,FIXQQQ,1
R2000,R2000,index,R2000,1
RASP,RASP,stock,RASP,0
RENI,RENI,stock,RENI,0
RGBI,RGBI,index,RGBI,0
RGBIF,RGBILP,index,RGBI,0
RNFT,RNFT,stock,RNFT,0
ROSN,ROSN,stock,ROSN,0
RTKM,RTKM,stock,RTKM,0
RTKMP,RTKMP,stock,RTKMP,0
RTS,RTSI,index,RTSI,1
RTSM,RTSI,index,RTSI,1
RUAL,RUAL,stock,RUAL,0
RUON,RUONIA,rate,RUONIA,1
RUONIA,,index,RUONIA,0
RVI,RVI,index,RVI,1
SAMSUNG,,stock,SAMSUNG,1
SAP,,stock,SAP,1
SAUDI,,index,SAUDI,1
SBERF,SBER,stock,SBER,0
SBPR,SBERP,stock,SBERP,0
SBRF,SBER,stock,SBER,0
SFIN,SFIN,stock,SFIN,1
SGZH,SGZH,stock,SGZH,0
SIBN,SIBN,stock,SIBN,0
SILV,SILV,commodity,SILV,1
SILVM,,commodity,SILVM,1
SL,SLVRUB_TOM,commodity,SLVRUB_TOM,0
SLVRUBTOM,SLV,commodity,SLV,0
SMLT,SMLT,stock,SMLT,0
SNGP,SNGSP,stock,SNGSP,0
SNGR,SNGS,stock,SNGS,0
SOFL,SOFL,stock,SOFL,0
SOL,,index,SOL,1
SONY,,stock,SONY,1
SOXQ,,index,SOXQ,1
SP500F,FIXSPY,index,FIXSPY,1
SPBE,SPBE,stock,SPBE,0
SPYF,SPYF,stock,SPYF,1
STOX,CSX5-RM,index,CSX5-RM,1
SUGAR,SUGAROTCCEN,commodity,SUGAROTCCEN,0
SUGR,SUGR,commodity,SUGR,1
SVCB,SVCB,stock,SVCB,0
Si,USD000UTSTOM,currency,USD000UTSTOM,0
T,T,stock,T,0
TATN,TATN,stock,TATN,0
TATP,TATNP,stock,TATNP,0
TENCENT,,stock,TENCENT,1
TLT,,index,TLT,1
TOYOTA,,stock,TOYOTA,1
TRNF,TRNFP,stock,TRNFP,0
TRX,,index,TRX,1
TRY,TRYRUB_TOM,currency,TRYRUB_TOM,0
TSM,,stock,TSM,1
TTF,,commodity,TTF,1
UCAD,UCAD,currency,UCAD,1
UCHF,UCHF,currency,UCHF,1
UCNY,UCNY,currency,UCNY,1
UINR,,currency,UINR,1
UJPY,UJPY,currency,UJPY,1
UKZT,UKZT,currency,UKZT,1
UPRO,UPRO,stock,UPRO,0
USDM,USD000UTSTOM,currency,USD000UTSTOM,0
USDRUBTOM,USD000UTSTOM,currency,USD000UTSTOM,0
UTRY,UTRY,currency,UTRY,1
VKCO,VKCO,stock,VKCO,0
VTBR,VTBR,stock,VTBR,0
WHEAT,WHEAT,commodity,WHEAT,0
WTI,,commodity,WTI,1
WUSH,WUSH,stock,WUSH,0
X5,X5,stock,X5,0
XIA,,stock,XIA,1
XRP,,index,XRP,1
YDEX,YDEX,stock,YDEX,0
ZINC,,commodity,ZINC,1
