SECID,BOARDID,BID,OFFER,SPREAD,OPEN,HIGH,LOW,LAST,QUANTITY,LASTCHANGE,SETTLEPRICE,SETTLETOPREVSETTLE,OPENPOSITION,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,UPDATETIME,LASTCHANGEPRCNT,BIDDEPTH,BIDDEPTHT,NUMBIDS,OFFERDEPTH,OFFERDEPTHT,NUMOFFERS,TIME,SETTLETOPREVSETTLEPRC,SEQNUM,SYSTIME,TRADEDATE,LASTTOPREVPRICE,OICHANGE,OPENPERIODPRICE,SWAPRATE,TRADE_SESSION_DATE,LAST_RUB
92Q6,RFUD,73650,74170,520,74170,74170,74120,74120,1,-50,74120,-190,102,6,7,519000,6301,17:32:12,-0.07,,,,,,,14:03:28,-0.26,20260813174713,2026-08-13 17:47:13,2026-08-13,0.43,0,0.00000,0.00000,2026-08-13,74120
92U6,RFUD,74700,75490,790,75500,75550,74400,75550,1,50,75490,-30,124,5,5,375450,4558,17:32:10,0.07,,,,,,,11:24:12,-0.04,20260813174711,2026-08-13 17:47:11,2026-08-13,0.04,0,0.00000,0.00000,2026-08-13,75550
92V6,RFUD,74220,75320,1100,0,0,0,0,0,0,74770,-520,0,0,0,0,0,17:32:22,0,,,,,,,17:32:22,-0.7,20260813174723,2026-08-13 17:47:23,,,0,0.00000,0.00000,2026-08-13,0
95Q6,RFUD,77410,77750,340,77510,77740,77420,77740,1,320,77740,460,374,7,8,620130,7528,16:56:30,0.41,,,,,,,15:27:59,0.59,20260813171131,2026-08-13 17:11:31,2026-08-13,0.35,6,0.00000,0.00000,2026-08-13,77740
95U6,RFUD,78790,79300,510,79240,79570,78790,79000,1,50,79000,260,580,21,224,17682850,214665,17:13:40,0.06,,,,,,,16:50:57,0.33,20260813172841,2026-08-13 17:28:41,2026-08-13,0.33,394,0.00000,0.00000,2026-08-13,79000
95V6,RFUD,78710,79860,1150,0,0,0,0,0,0,79290,540,0,0,0,0,0,16:56:30,0,,,,,,,16:56:30,0.68,20260813171131,2026-08-13 17:11:31,,,0,0.00000,0.00000,2026-08-13,0
A2U6,RFUD,1857,1862.3,5.3,1832.6,1832.6,1822.1,1822.1,1,-10.5,1857.6,34.2,468,2,2,30333,368,17:50:22,-0.57,,,,,,,15:46:10,1.84,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.62,-2,0.00000,0.00000,2026-08-13,15123
A2Z6,RFUD,1865.1,1877.7,12.6,1855.7,1855.7,1836.1,1836.1,1,-19.6,1865.7,26.3,132,2,2,30641,372,17:50:22,-1.06,,,,,,,15:46:10,1.41,20260813180523,2026-08-13 18:05:23,2026-08-13,0,-2,0.00000,0.00000,2026-08-13,15239
AAU6,RFUD,68.1,70.63,2.53,0,0,0,0,0,0,68.1,0,128,0,0,0,0,17:50:19,0,,,,,,,17:50:19,0,20260813180521,2026-08-13 18:05:21,,,0,0.00000,0.00000,2026-08-13,0
AAZ6,RFUD,68.71,71.72,3.01,0,0,0,0,0,0,68.71,0.1,48,0,0,0,0,17:48:58,0,,,,,,,17:48:58,0.15,20260813180358,2026-08-13 18:03:58,,,0,0.00000,0.00000,2026-08-13,0
AEU6,RFUD,23.028,23.082,0.054,22.874,22.903,22.874,22.903,2,0.029,23.028,0.246,96,2,3,68680,834,17:50:20,0.13,,,,,,,11:22:36,1.07,20260813180522,2026-08-13 18:05:22,2026-08-13,0.53,-2,0.00000,0.00000,2026-08-13,22903
AEZ6,RFUD,23.083,23.48,0.397,0,0,0,0,0,0,23.48,0.43,34,0,0,0,0,17:50:22,0,,,,,,,17:50:22,1.83,20260813180523,2026-08-13 18:05:23,,,0,0.00000,0.00000,2026-08-13,0
AFU6,RFUD,3471,3474,3,3536,3542,3455,3471,1,1,3471,-100,133920,5496,28056,98027604,1190028,17:50:22,0.03,,,,,,,17:47:20,-2.88,20260813180523,2026-08-13 18:05:23,2026-08-13,-2.14,-1098,0.00000,0.00000,2026-08-13,3471
AFZ6,RFUD,3553,3562,9,3618,3643,3548,3555,5,-3,3555,-118,7152,575,1508,5410278,65679,17:50:17,-0.08,,,,,,,17:28:08,-3.32,20260813180519,2026-08-13 18:05:19,2026-08-13,-2.6,-542,0.00000,0.00000,2026-08-13,3555
AGU6,RFUD,92.7,93.02,0.32,0,0,0,0,0,0,93.04,-0.5,716,0,0,0,0,17:50:21,0,,,,,,,17:50:21,-0.54,20260813180522,2026-08-13 18:05:22,,,0,0.00000,0.00000,2026-08-13,0
AGZ6,RFUD,93.46,94.21,0.75,0,0,0,0,0,0,93.74,-0.99,40,0,0,0,0,17:50:20,0,,,,,,,17:50:20,-1.06,20260813180522,2026-08-13 18:05:22,,,0,0.00000,0.00000,2026-08-13,0
AKU6,RFUD,8911,8919,8,9241,9284,8870,8910,2,-7,8910,-395,73158,4261,12726,115084270,1397091,17:50:22,-0.08,,,,,,,17:49:22,-4.43,20260813180523,2026-08-13 18:05:23,2026-08-13,-3.68,-866,0.00000,0.00000,2026-08-13,8910
AKZ6,RFUD,9164,9182,18,9465,9507,9141,9170,1,29,9170,-389,4156,238,577,5361180,65083,17:50:22,0.32,,,,,,,17:48:19,-4.24,20260813180523,2026-08-13 18:05:23,2026-08-13,-3.47,170,0.00000,0.00000,2026-08-13,9170
ALU6,RFUD,2011,2013,2,2157,2161,2001,2013,2,1,2013,-152,282308,12312,184155,381140321,4626938,17:50:22,0.05,,,,,,,17:50:19,-7.55,20260813180523,2026-08-13 18:05:23,2026-08-13,-6.85,-4620,0.00000,0.00000,2026-08-13,2013
ALZ6,RFUD,2081,2084,3,2226,2227,2071,2080,13,-1,2082,-160,32036,1279,10647,22777339,276511,17:50:22,-0.05,,,,,,,17:41:25,-7.68,20260813180523,2026-08-13 18:05:23,2026-08-13,-6.77,1900,0.00000,0.00000,2026-08-13,2080
ANU6,RFUD,3277,3278.5,1.5,3310,3310,3272.5,3277,1,-1.5,3278.5,-38.5,74612,1021,5462,149027285,1809150,17:50:16,-0.05,,,,,,,17:50:16,-1.17,20260813180518,2026-08-13 18:05:18,2026-08-13,-1.44,1188,3310.00000,0.00000,2026-08-13,27198
ANZ6,RFUD,3263,3267,4,3295,3296,3257.5,3267,4,5,3267,-42,3658,169,374,10159640,123335,17:50:16,0.15,,,,,,,17:49:14,-1.29,20260813180518,2026-08-13 18:05:18,2026-08-13,-1.57,8,0.00000,0.00000,2026-08-13,27115
APU6,RFUD,204.48,205.06,0.58,205.64,205.7,205.64,205.7,1,0.06,205.02,0.66,10,2,2,34140,414,17:50:17,0.03,,,,,,,15:12:23,0.32,20260813180523,2026-08-13 18:05:23,2026-08-13,1.14,4,0.00000,0.00000,2026-08-13,17073
APZ6,RFUD,204.3,209.17,4.87,0,0,0,0,0,0,206.69,0.36,2,0,0,0,0,17:50:17,0,,,,,,,17:50:17,0.17,20260813180523,2026-08-13 18:05:23,,,0,0.00000,0.00000,2026-08-13,0
ARU6,RFUD,22.001,22.639,0.638,0,0,0,0,0,0,22.482,0,54,0,0,0,0,17:48:48,0,,,,,,,17:48:48,0,20260813180349,2026-08-13 18:03:49,,,0,0.00000,0.00000,2026-08-13,0
ARZ6,RFUD,23.301,24.279,0.978,0,0,0,0,0,0,23.301,-0.596,38,0,0,0,0,17:49:11,0,,,,,,,17:49:11,-2.56,20260813180411,2026-08-13 18:04:11,,,0,0.00000,0.00000,2026-08-13,0
ASU6,RFUD,203,204,1,221,221,201,204,66,-1,204,-18,322804,3344,169392,35765912,434188,17:50:22,-0.49,,,,,,,17:50:03,-8.82,20260813180523,2026-08-13 18:05:23,2026-08-13,-8.11,46326,0.00000,0.00000,2026-08-13,204
ASZ6,RFUD,209,210,1,225,225,207,210,1,1,210,-17,72922,1003,39574,8561985,103940,17:50:22,0.48,,,,,,,17:49:27,-8.1,20260813180523,2026-08-13 18:05:23,2026-08-13,-6.67,9844,0.00000,0.00000,2026-08-13,210
AUU6,RFUD,0.7052,0.7061,0.0009,0.705,0.705,0.7036,0.7036,1,-0.0014,0.7052,-0.0005,216,3,6,351080,4262,17:48:59,-0.2,,,,,,,10:51:10,-0.07,20260813180359,2026-08-13 18:03:59,2026-08-13,-0.2,-10,0.00000,0.00000,2026-08-13,58397
AUZ6,RFUD,0.7005,0.7127,0.0122,0,0,0,0,0,0,0.7064,-0.0005,0,0,0,0,0,17:49:24,0,,,,,,,17:49:24,-0.07,20260813180424,2026-08-13 18:04:24,,,0,0.00000,0.00000,2026-08-13,0
BBU6,RFUD,123.67,123.91,0.24,126.97,127.18,123.63,123.96,5,-0.02,123.85,-1.26,20608,226,4591,47744872,579610,17:50:20,-0.02,,,,,,,17:49:10,-1.02,20260813180522,2026-08-13 18:05:22,2026-08-13,-1.77,2824,0.00000,0.00000,2026-08-13,10288
BBZ6,RFUD,126.64,126.95,0.31,130.07,130.07,126.76,127.02,1,0.12,126.9,-1.39,928,36,79,842950,10233,17:50:12,0.09,,,,,,,17:41:35,-1.1,20260813180513,2026-08-13 18:05:13,2026-08-13,-1.23,48,0.00000,0.00000,2026-08-13,10542
BDU6,RFUD,105.79,105.86,0.07,106.77,108.04,105.5,105.71,4,-0.01,105.71,0.72,19250,126,1865,16605543,201587,17:50:22,-0.01,,,,,,,17:48:33,0.68,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.5,3114,0.00000,0.00000,2026-08-13,8774
BDZ6,RFUD,109.51,109.75,0.24,111.15,111.15,109.77,109.77,2,-0.03,109.71,1.07,794,39,185,1701315,20653,17:50:22,-0.03,,,,,,,16:18:27,0.98,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.03,310,0.00000,0.00000,2026-08-13,9111
BMF7,RFUD,81.01,81.1,0.09,82.26,82.26,80.57,81.1,2,0.01,81.1,-0.86,2292,70,133,897914,10900,17:50:22,0.01,,,,,,,17:47:36,-1.06,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.59,-124,0.00000,0.00000,2026-08-13,6731
BMG7,RFUD,80.86,81,0.14,81.7,81.7,80.6,80.6,1,-0.05,80.86,-0.45,1062,20,41,274913,3337,17:49:48,-0.06,,,,,,,17:09:36,-0.56,20260813180522,2026-08-13 18:05:22,2026-08-13,-1.04,10,0.00000,0.00000,2026-08-13,6690
BMH7,RFUD,80.4,80.8,0.4,80.83,80.83,80.31,80.79,1,0.48,80.79,-0.96,344,10,10,66968,813,17:40:29,0.6,,,,,,,14:33:48,-1.19,20260813180522,2026-08-13 18:05:22,2026-08-13,-1.17,2,0.00000,0.00000,2026-08-13,6705
BMU6,RFUD,86.92,86.94,0.02,88.46,89.18,86.01,86.93,4,0.01,86.92,-2,102450,20267,121833,886067944,10756620,17:50:22,0.01,,,,,,,17:50:22,-2.3,20260813180523,2026-08-13 18:05:23,2026-08-13,-1.73,-5966,88.46000,0.00000,2026-08-13,7215
