assetcode,underlying_asset,asset_type,count_with,is_not_rub,perpetual_is_spot
1MFR,RUSFAR,rate,RUSFAR,0,0
AED,AED,currency,AED,0,0
AFKS,AFKS,stock,AFKS,0,0
AFLT,AFLT,stock,AFLT,0,0
AFRICA,,index,AFRICA,1,0
AI92,,commodity,AI92,0,0
AI95,,commodity,AI95,0,0
ALIBABA,BABA-RM,stock,BABA-RM,1,0
ALRS,ALRS,stock,ALRS,0,0
ALUM,,commodity,ALUM,0,0
AMD,AMDRUB_TOM,currency,AMDRUB_TOM,0,0
AMDF,FIXAMD,index,FIXAMD,1,0
AMZNF,FIXAMZN,index,FIXAMZN,1,0
APPF,FIXAPP,index,FIXAPP,1,0
ARGT,,index,ARGT,1,0
ASML,,stock,ASML,1,0
ASTR,ASTR,stock,ASTR,0,0
ASTRM,ASTR,stock,ASTR,0,0
AUDU,AUDU,currency,AUDU,0,0
BAIDU,BIDU-RM,stock,BIDU-RM,1,0
BANE,BANE,stock,BANE,0,0
BELUGA,BELU,stock,BELU,0,0
BELUGAM,BELU,stock,BELU,0,0
BR,BR,commodity,BR,0,0
BRAZIL,,index,BRAZIL,1,0
BRM,,commodity,BRM,0,0
BSPB,BSPB,stock,BSPB,0,0
BTC,MOEXBTC,index,MOEXBTC,1,0
BYN,BYNRUB_TOM,currency,BYNRUB_TOM,0,0
CBOM,CBOM,stock,CBOM,0,0
CHINA,,index,CHINA,1,0
CHMFM,CHMF,stock,CHMF,0,0
CNI,MOEXCN,index,MOEXCN,0,0
CNY,CNYRUB_TOM,currency,CNYRUBTOM,0,1
CNYRUBTOM,CNYRUB_TOM,currency,CNYRUBTOM,0,1
COCOA,,commodity,COCOA,0,0
COFFEE,,commodity,COFFEE,0,0
COHRF,FIXCOHR,index,FIXCOHR,1,0
COPPER,,commodity,COPPER,0,0
DAX,DAX,index,DAX,1,0
DJ30,DJ30,index,DJ30,1,0
DOMRF,DOMRF,stock,DOMRF,0,0
DTL,,commodity,DTL,0,0
ECAD,ECAD,currency,ECAD,0,0
ED,ED,currency,ED,0,0
EGBP,EGBP,currency,EGBP,0,0
EJPY,EJPY,currency,EJPY,0,0
EM,EEM-RM,index,EEM-RM,1,0
ENPG,ENPG,stock,ENPG,0,0
ETH,MOEXETH,index,MOEXETH,1,0
ETHA,,index,ETHA,1,0
EURM,EUR_RUB__TOM,currency,EURRUBTOM,0,1
EURRUBTOM,EUR_RUB__TOM,currency,EURRUBTOM,0,1
Eu,EUR_RUB__TOM,currency,EURRUBTOM,0,1
FEES,FEES,stock,FEES,0,0
FESH,FESH,stock,FESH,0,0
FIXR,FIXR,stock,FIXR,0,0
FLOT,FLOT,stock,FLOT,0,0
FNI,MOEXFN,index,MOEXFN,0,0
GAZPF,GAZP,stock,GAZP,0,0
GAZR,GAZP,stock,GAZP,0,0
GBPU,GBPU,currency,GBPU,0,0
GL,GLDRUB_TOM,commodity,GLDRUB_TOM,0,0
GLDRUBTOM,GLDRUB_TOM,commodity,GLDRUB_TOM,0,0
GMKN,GMKN,stock,GMKN,0,0
GOLD,GOLD,commodity,GOLD,0,0
GOLDM,,commodity,GOLDM,0,0
HANG,HANG,index,HANG,1,0
HEAD,HEAD,stock,HEAD,0,0
HKD,HKDRUB_TOM,currency,HKDRUB_TOM,0,0
HOME,HOME,index,HOME,0,0
HOODF,FIXHOOD,index,FIXHOOD,1,0
HYDR,HYDR,stock,HYDR,0,0
HYNIX,,stock,HYNIX,1,0
IBIT,,index,IBIT,1,0
IMOEX,IMOEX,index,IMOEX,0,1
INDIA,MTUM-RM,index,MTUM-RM,1,0
INR,INR,currency,INR,0,0
IPO,MIPO,index,MIPO,1,0
IRAO,IRAO,stock,IRAO,0,0
ISKJ,ABIO,stock,ABIO,0,0
IVAT,IVAT,stock,IVAT,0,0
JDCOM,,stock,JDCOM,1,0
KMAZ,KMAZ,stock,KMAZ,0,0
KOREA,,index,KOREA,1,0
KZT,KZTRUB_TOM,currency,KZTRUB_TOM,0,0
LEAS,LEAS,stock,LEAS,0,0
LENT,LENT,stock,LENT,0,0
LITEF,FIXLITE,index,FIXLITE,1,0
LKOH,LKOH,stock,LKOH,0,0
MAGN,MAGN,stock,MAGN,0,0
MDMG,MDMG,stock,MDMG,0,0
MGNT,MGNT,stock,MGNT,0,0
MIX,MIX,index,IMOEX,0,1
MMI,MOEXMM,index,MOEXMM,0,0
MOEX,MOEX,stock,MOEX,0,0
MOEXCNY,IMOEXCNY,index,IMOEXCNY,1,0
MTLR,MTLR,stock,MTLR,0,0
MTSI,MTSS,stock,MTSS,0,0
MVID,MVID,stock,MVID,0,0
MXI,IMOEX,index,IMOEX,0,1
NASD,,index,QQQF,1,1
NBISF,FIXNBIS,index,FIXNBIS,1,0
NFLXF,FIXNFLX,index,FIXNFLX,1,0
NG,NG,commodity,NG,0,0
NGM,,commodity,NGM,0,0
NICKEL,,commodity,NICKEL,0,0
NIKK,NIKK,index,NIKK,1,0
NLMK,NLMK,stock,NLMK,0,0
NOTKM,NVTK,stock,NVTK,0,0
NOVARTIS,,stock,NOVARTIS,1,0
OGI,MOEXOG,index,MOEXOG,0,0
ORANGE,,commodity,ORANGE,0,0
OZON,OZON,stock,OZON,0,0
PDD,,stock,PDD,1,0
PHOR,PHOR,stock,PHOR,0,0
PIKK,PIKK,stock,PIKK,0,0
PLD,PLD,commodity,PLD,0,0
PLDM,,commodity,PLDM,0,0
PLT,PLT,commodity,PLT,0,0
PLTM,,commodity,PLTM,0,0
PLZLM,PLZL,stock,PLZL,0,0
POSI,POSI,stock,POSI,0,0
QQQF,FIXQQQ,index,QQQF,1,1
R2000,R2000,index,R2000,1,0
RAGR,RAGR,stock,RAGR,0,0
RASP,RASP,stock,RASP,0,0
RENI,RENI,stock,RENI,0,0
RGBI,RGBI,index,RGBIF,0,1
RGBIF,RGBILP,index,RGBIF,0,1
RNFT,RNFT,stock,RNFT,0,0
ROSN,ROSN,stock,ROSN,0,0
RTKM,RTKM,stock,RTKM,0,0
RTKMP,RTKMP,stock,RTKMP,0,0
RTS,RTSI,index,RTSI,1,0
RTSM,RTSI,index,RTSI,1,0
RUAL,RUAL,stock,RUAL,0,0
RUON,RUONIA,rate,RUONIA,0,0
RUONIA,,index,RUONIA,0,0
RVI,RVI,index,RVI,1,0
SAMSUNG,,stock,SAMSUNG,1,0
SAP,,stock,SAP,1,0
SAUDI,,index,SAUDI,1,0
SBERF,SBER,stock,SBER,0,0
SBPR,SBERP,stock,SBERP,0,0
SBRF,SBER,stock,SBER,0,0
SFIN,SFIN,stock,SFIN,1,0
SGZH,SGZH,stock,SGZH,0,0
SIBN,SIBN,stock,SIBN,0,0
SILV,SILV,commodity,SILV,0,0
SILVM,,commodity,SILVM,0,0
SL,SLVRUB_TOM,commodity,SLVRUB_TOM,0,0
SLVRUBTOM,SLV,commodity,SLV,0,0
SMLT,SMLT,stock,SMLT,0,0
SNDKF,FIXSNDK,index,FIXSNDK,1,0
SNGP,SNGSP,stock,SNGSP,0,0
SNGR,SNGS,stock,SNGS,0,0
SOFL,SOFL,stock,SOFL,0,0
SOL,,index,SOL,1,0
SONY,,stock,SONY,1,0
SOXQ,,index,SOXQ,1,0
SP500F,FIXSPY,index,SP500F,1,1
SPBE,SPBE,stock,SPBE,0,0
SPYF,SPYF,index,SP500F,1,1
